unique_paragraph_id,participant_id,unique_trial_id,lextale,regime
1,du_11,du_11_1,66.25,train_train
1,du_13,du_13_1,77.5,train_train
1,du_27,du_27_1,86.25,train_train
1,du_31,du_31_1,81.25,train_train
1,du_36,du_36_1,97.5,train_train
1,du_38,du_38_1,92.5,train_train
1,du_4,du_4_1,75.0,train_train
1,du_42,du_42_1,80.0,train_train
1,du_44,du_44_1,71.25,train_train
1,du_46,du_46_1,63.75,train_train
1,du_47,du_47_1,82.5,train_train
1,du_49,du_49_1,73.75,train_train
1,du_56,du_56_1,68.75,train_train
1,du_57,du_57_1,92.5,train_train
1,du_8,du_8_1,73.75,train_train
1,ee_1,ee_1_1,96.25,train_train
1,ee_12,ee_12_1,98.75,train_train
1,ee_17,ee_17_1,92.5,train_train
1,ee_2,ee_2_1,90.0,train_train
1,ee_22,ee_22_1,96.25,train_train
1,ee_28,ee_28_1,86.25,train_train
1,ee_29,ee_29_1,63.75,train_train
1,ee_31,ee_31_1,85.0,train_train
1,ee_35,ee_35_1,63.75,train_train
1,ee_37,ee_37_1,90.0,train_train
1,ee_4,ee_4_1,83.75,train_train
1,ee_45,ee_45_1,92.5,train_train
1,ee_47,ee_47_1,70.0,train_train
1,ee_51,ee_51_1,97.5,train_train
1,ee_54,ee_54_1,81.25,train_train
1,ee_58,ee_58_1,72.5,train_train
1,ee_61,ee_61_1,76.25,train_train
1,ee_62,ee_62_1,62.5,train_train
1,ee_68,ee_68_1,85.0,train_train
1,ee_70,ee_70_1,81.25,train_train
1,ee_72,ee_72_1,85.0,train_train
1,ee_73,ee_73_1,85.0,train_train
1,ee_78,ee_78_1,85.0,train_train
1,ee_79,ee_79_1,100.0,train_train
1,en_101,en_101_1,100.0,train_train
1,en_2,en_2_1,88.75,train_train
1,en_21,en_21_1,85.0,train_train
1,en_30,en_30_1,95.0,train_train
1,en_4,en_4_1,100.0,train_train
1,en_5,en_5_1,80.0,train_train
1,en_51,en_51_1,76.25,train_train
1,en_55,en_55_1,96.25,train_train
1,en_66,en_66_1,97.5,train_train
1,en_74,en_74_1,97.5,train_train
1,en_77,en_77_1,78.75,train_train
1,en_84,en_84_1,90.0,train_train
1,en_86,en_86_1,97.5,train_train
1,en_90,en_90_1,96.25,train_train
1,en_91,en_91_1,91.25,train_train
1,en_94,en_94_1,97.5,train_train
1,en_98,en_98_1,92.5,train_train
1,en_99,en_99_1,81.25,train_train
1,fi_1,fi_1_1,88.75,train_train
1,fi_14,fi_14_1,78.75,train_train
1,fi_15,fi_15_1,47.5,train_train
1,fi_18,fi_18_1,97.5,train_train
1,fi_2,fi_2_1,77.5,train_train
1,fi_23,fi_23_1,87.5,train_train
1,fi_24,fi_24_1,86.25,train_train
1,fi_30,fi_30_1,76.25,train_train
1,fi_33,fi_33_1,73.75,train_train
1,fi_38,fi_38_1,96.25,train_train
1,fi_39,fi_39_1,87.5,train_train
1,fi_4,fi_4_1,77.5,train_train
1,fi_40,fi_40_1,61.25,train_train
1,fi_41,fi_41_1,71.25,train_train
1,fi_42,fi_42_1,85.0,train_train
1,fi_43,fi_43_1,83.75,train_train
1,fi_44,fi_44_1,92.5,train_train
1,fi_46,fi_46_1,100.0,train_train
1,fi_48,fi_48_1,91.25,train_train
1,fi_49,fi_49_1,90.0,train_train
1,fi_5,fi_5_1,67.5,train_train
1,fi_50,fi_50_1,91.25,train_train
1,fi_51,fi_51_1,87.5,train_train
1,fi_52,fi_52_1,68.75,train_train
1,fi_54,fi_54_1,72.5,train_train
1,fi_6,fi_6_1,83.75,train_train
1,fi_7,fi_7_1,78.75,train_train
1,fi_8,fi_8_1,85.0,train_train
1,ge_1,ge_1_1,57.5,train_train
1,ge_10,ge_10_1,65.0,train_train
1,ge_15,ge_15_1,83.75,train_train
1,ge_16,ge_16_1,65.0,train_train
1,ge_17,ge_17_1,78.75,train_train
1,ge_18,ge_18_1,87.5,train_train
1,ge_21,ge_21_1,66.25,train_train
1,ge_23,ge_23_1,76.25,train_train
1,ge_24,ge_24_1,63.75,train_train
1,ge_28,ge_28_1,82.5,train_train
1,ge_30,ge_30_1,80.0,train_train
1,ge_36,ge_36_1,87.5,train_train
1,ge_37,ge_37_1,66.25,train_train
