unique_paragraph_id,participant_id,unique_trial_id,lextale,regime
1,ba_1,ba_1_1,71.25,train_train
1,ba_14,ba_14_1,76.25,train_train
1,ba_15,ba_15_1,73.75,train_train
1,ba_16,ba_16_1,67.5,train_train
1,ba_2,ba_2_1,75.0,train_train
1,ba_21,ba_21_1,76.25,train_train
1,ba_24,ba_24_1,73.75,train_train
1,ba_25,ba_25_1,73.75,train_train
1,ba_37,ba_37_1,70.0,train_train
1,ba_38,ba_38_1,75.0,train_train
1,ba_40,ba_40_1,71.25,train_train
1,ba_46,ba_46_1,68.75,train_train
1,ba_54,ba_54_1,75.0,train_train
1,ba_8,ba_8_1,73.75,train_train
1,ch_s_10,ch_s_10_1,60.0,train_train
1,ch_s_11,ch_s_11_1,73.75,train_train
1,ch_s_15,ch_s_15_1,68.75,train_train
1,ch_s_21,ch_s_21_1,81.25,train_train
1,ch_s_28,ch_s_28_1,82.5,train_train
1,ch_s_32,ch_s_32_1,68.75,train_train
1,ch_s_37,ch_s_37_1,58.75,train_train
1,ch_s_38,ch_s_38_1,80.0,train_train
1,ch_s_41,ch_s_41_1,76.25,train_train
1,ch_s_44,ch_s_44_1,58.75,train_train
1,ch_s_47,ch_s_47_1,51.25,train_train
1,ch_s_48,ch_s_48_1,41.25,train_train
1,ch_s_50,ch_s_50_1,60.0,train_train
1,ch_s_53,ch_s_53_1,73.75,train_train
1,ch_s_55,ch_s_55_1,63.75,train_train
1,ch_t_13,ch_t_13_1,60.0,train_train
1,ch_t_24,ch_t_24_1,63.75,train_train
1,ch_t_25,ch_t_25_1,55.0,train_train
1,ch_t_26,ch_t_26_1,62.5,train_train
1,ch_t_29,ch_t_29_1,60.0,train_train
1,ch_t_32,ch_t_32_1,56.25,train_train
1,ch_t_37,ch_t_37_1,60.0,train_train
1,ch_t_38,ch_t_38_1,60.0,train_train
1,ch_t_46,ch_t_46_1,58.75,train_train
1,ch_t_5,ch_t_5_1,75.0,train_train
1,ch_t_55,ch_t_55_1,63.75,train_train
1,ch_t_57,ch_t_57_1,50.0,train_train
1,ch_t_60,ch_t_60_1,51.25,train_train
1,ch_t_65,ch_t_65_1,57.5,train_train
1,da_10,da_10_1,70.0,train_train
1,da_11,da_11_1,78.75,train_train
1,da_16,da_16_1,61.25,train_train
1,da_17,da_17_1,78.75,train_train
1,da_22,da_22_1,77.5,train_train
1,da_31,da_31_1,73.75,train_train
1,da_42,da_42_1,80.0,train_train
1,da_5,da_5_1,58.75,train_train
1,da_62,da_62_1,97.5,train_train
1,da_65,da_65_1,67.5,train_train
1,da_8,da_8_1,83.75,train_train
1,du_24,du_24_1,77.5,train_train
1,du_25,du_25_1,63.75,train_train
1,du_27,du_27_1,86.25,train_train
1,du_29,du_29_1,76.25,train_train
1,du_36,du_36_1,97.5,train_train
1,du_37,du_37_1,86.25,train_train
1,du_40,du_40_1,65.0,train_train
1,du_41,du_41_1,72.5,train_train
1,du_42,du_42_1,80.0,train_train
1,du_45,du_45_1,75.0,train_train
1,du_47,du_47_1,82.5,train_train
1,du_5,du_5_1,93.75,train_train
1,du_50,du_50_1,83.75,train_train
1,du_54,du_54_1,93.75,train_train
1,du_6,du_6_1,95.0,train_train
1,du_8,du_8_1,73.75,train_train
1,ee_12,ee_12_1,98.75,train_train
1,ee_14,ee_14_1,82.5,train_train
1,ee_15,ee_15_1,80.0,train_train
1,ee_17,ee_17_1,92.5,train_train
