column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
ART,numeric,1622675,0.0,-1.0,-1.0,-0.19686135547783754,-1.0,-1.0,32.0,3.464823302951185,24,
ART-Score,numeric,1622675,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,{-1.0: 100.0}
ART-misses,categorical,1622675,0.0,,,,,,,,1,{'': 100.0}
AbsDistance2Head,numeric,0,100.0,,,,,,,,0,{}
Age,numeric,1622675,0.0,-1.0,-1.0,2.316775078188793,-1.0,22.0,30.0,8.408409001445246,14,"{-1.0: 86.4, 24.0: 2.5, 23.0: 2.2, 22.0: 1.8, 25.0: 1.4, 20.0: 1.4, 21.0: 1.3, 26.0: 0.9, 29.0: 0.6, 19.0: 0.5, 28.0: 0.4, 27.0: 0.3, 18.0: 0.2, 30.0: 0.1}"
Age ,numeric,1622675,0.0,-1.0,-1.0,0.17370514736469103,-1.0,-1.0,30.0,5.171808681126631,13,"{-1.0: 95.0, 20.0: 1.0, 21.0: 1.0, 18.0: 0.6, 29.0: 0.4, 19.0: 0.4, 26.0: 0.4, 24.0: 0.3, 27.0: 0.3, 30.0: 0.2, 23.0: 0.2, 22.0: 0.1, 25.0: 0.1}"
BNT,numeric,1622675,0.0,-1.0,-1.0,7.185947340040366,-1.0,-1.0,168.2,34.62957230965413,40,
CFT (non-verbal),numeric,1622675,0.0,-1.0,-1.0,-0.4890578828169535,-1.0,-1.0,12.0,2.237924008063016,8,"{-1.0: 94.9, 9.0: 1.3, 10.0: 1.1, 7.0: 0.8, 11.0: 0.7, 8.0: 0.7, 12.0: 0.2, 6.0: 0.2}"
CFT-Score,numeric,1622675,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,{-1.0: 100.0}
CFT-Time,categorical,1622675,0.0,,,,,,,,1,{'': 100.0}
CFT-WS_SCORE,numeric,1622675,0.0,-1.0,-1.0,1.4179099326729012,-1.0,-1.0,30.0,8.048083374324706,8,"{-1.0: 91.7, 29.0: 2.6, 28.0: 2.6, 27.0: 1.6, 30.0: 1.0, 21.0: 0.2, 26.0: 0.2, 23.0: 0.1}"
