column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
ART,numeric,388898,0.0,-1.0,-1.0,-0.838536068583536,-1.0,-1.0,32.0,1.615426105422471,24,
ART-Score,numeric,388898,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,{-1.0: 100.0}
ART-misses,categorical,388898,0.0,,,,,,,,1,{'': 100.0}
AbsDistance2Head,numeric,1992,99.5,0.0,1.0,2.1315261044176705,1.0,4.0,32.0,2.5241714615640656,25,
Age,numeric,388898,0.0,-1.0,-1.0,3.642258381375065,-1.0,23.0,30.0,9.703770634799183,14,"{-1.0: 81.2, 24.0: 4.2, 23.0: 4.2, 22.0: 3.1, 25.0: 2.3, 26.0: 1.3, 29.0: 1.1, 20.0: 0.8, 28.0: 0.7, 19.0: 0.4, 18.0: 0.4, 21.0: 0.2, 27.0: 0.1, 30.0: 0.0}"
Age ,numeric,388898,0.0,-1.0,-1.0,-0.8219764565515894,-1.0,-1.0,30.0,2.0680084876886644,13,"{-1.0: 99.2, 20.0: 0.2, 21.0: 0.1, 19.0: 0.1, 26.0: 0.1, 18.0: 0.1, 29.0: 0.1, 27.0: 0.0, 30.0: 0.0, 24.0: 0.0, 23.0: 0.0, 22.0: 0.0, 25.0: 0.0}"
BNT,numeric,388898,0.0,-1.0,-1.0,0.37404255100309053,-1.0,-1.0,168.2,14.510509980552543,40,
CFT (non-verbal),numeric,388898,0.0,-1.0,-1.0,-0.9019382974456027,-1.0,-1.0,12.0,1.0031594956774443,8,"{-1.0: 99.0, 9.0: 0.2, 10.0: 0.2, 8.0: 0.1, 11.0: 0.1, 7.0: 0.1, 12.0: 0.1, 6.0: 0.0}"
CFT-Score,numeric,388898,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,{-1.0: 100.0}
CFT-Time,categorical,388898,0.0,,,,,,,,1,{'': 100.0}
CFT-WS_SCORE,numeric,388898,0.0,-1.0,-1.0,4.207100576500779,-1.0,28.0,30.0,11.179449777734492,8,"{-1.0: 82.1, 29.0: 5.8, 28.0: 4.9, 27.0: 3.2, 30.0: 2.7, 23.0: 0.5, 21.0: 0.5, 26.0: 0.2}"
CFT-ZF_SCORE,numeric,388898,0.0,-1.0,-1.0,2.5909107272343905,-1.0,20.0,21.0,7.767892752121712,10,"{-1.0: 82.1, 21.0: 7.6, 20.0: 3.4, 19.0: 2.0, 16.0: 1.9, 18.0: 0.9, 17.0: 0.9, 14.0: 0.6, 13.0: 0.4, 10.0: 0.4}"
CFT20,numeric,388898,0.0,-1.0,-1.0,-0.6736419318175975,-1.0,-1.0,12.0,1.7778834095157006,11,"{-1.0: 96.6, 9.0: 0.6, 8.0: 0.6, 10.0: 0.5, 11.0: 0.5, 7.0: 0.5, 6.0: 0.2, 5.0: 0.2, 12.0: 0.2, 4.0: 0.1, 1.0: 0.0}"
CFT20Total,numeric,388898,0.0,-1.0,-1.0,-0.9079887271212503,-1.0,-1.0,12.0,0.9310715427974552,12,"{-1.0: 99.0, 7.0: 0.2, 10.0: 0.2, 8.0: 0.1, 9.0: 0.1, 12.0: 0.1, 6.0: 0.1, 5.0: 0.1, 11.0: 0.0, 4.0: 0.0, 3.0: 0.0, 2.0: 0.0}"
CFT_Total,numeric,388898,0.0,-1.0,-1.0,-0.9077573039717355,-1.0,-1.0,12.0,0.9462036088489527,10,"{-1.0: 99.0, 9.0: 0.3, 10.0: 0.2, 7.0: 0.1, 8.0: 0.1, 11.0: 0.1, 6.0: 0.1, 5.0: 0.0, 4.0: 0.0, 12.0: 0.0}"
CTF-total,numeric,388898,0.0,-1.0,-1.0,-0.8914496860359271,-1.0,-1.0,12.0,1.068251927432969,9,"{-1.0: 98.9, 10.0: 0.3, 9.0: 0.2, 11.0: 0.2, 7.0: 0.1, 12.0: 0.1, 8.0: 0.1, 4.0: 0.0, 6.0: 0.0}"
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,346702,10.9,1.0,18.0,89.06126010233572,87.0,161.0,243.0,53.047046778574035,243,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,numeric,388898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
Code,categorical,388898,0.0,,,,,,,,1,{'': 100.0}
DU_SPELLING,numeric,388898,0.0,-1.0,-1.0,-0.7513152548997424,-1.0,-1.0,30.0,2.629719525740603,10,"{-1.0: 99.1, 28.0: 0.2, 29.0: 0.2, 25.0: 0.2, 27.0: 0.1, 26.0: 0.1, 24.0: 0.1, 30.0: 0.1, 18.0: 0.0, 22.0: 0.0}"
ENpseudoflu,numeric,388898,0.0,-1.0,-1.0,1.8993309299610694,-1.0,-1.0,62.0,12.507995093510162,14,"{-1.0: 94.8, 61.0: 1.2, 59.0: 0.7, 56.0: 0.5, 49.0: 0.5, 51.0: 0.4, 36.0: 0.3, 57.0: 0.3, 50.0: 0.2, 60.0: 0.2, 62.0: 0.2, 46.0: 0.2, 54.0: 0.2, 58.0: 0.2}"
ENwordflu,numeric,388898,0.0,-1.0,-1.0,3.4790999182304874,-1.0,-1.0,99.0,19.295449002064917,17,
IA_BOTTOM,numeric,388898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,{0: 100.0}
IA_DWELL_TIME,numeric,246273,36.7,2.0,145.0,364.46765175232366,277.0,677.0,13112.0,297.54455959578786,2638,
IA_DWELL_TIME_%,numeric,246273,36.7,3.055814450946538e-05,0.0030152536360411493,0.008072342481717443,0.006571690097871242,0.014716364768042832,0.18506687443189196,0.005886803159401764,213830,
IA_FIRST_FIXATION_DURATION,numeric,246273,36.7,1.0,121.0,214.93549028923186,198.0,325.0,4482.0,96.35293437059202,1027,
