,OneStop,CopCo,MECOL2W1,MECOL2W2,IITBHGC,PoTeC,SBSAT,MECOL2,OneStopL2,MECOL1
BK_col,,,,,,BK,,,,
BK_distribution,,,,,,"{0: 89.8, 1: 10.2}",,,,
BK_overall,,,,,,0.102±0.30 (0.00-1.00),,,,
BK_per_item,,,,,,0.102±0.10 (0.01-0.33),,,,
BK_per_participant,,,,,,0.103±0.09 (0.00-0.33),,,,
BTD_col,difficulty_level,,,,,,binary_difficulty,,,
BTD_distribution,"{0: 50.0, 1: 50.0}",,,,,,"{0: 66.3, 1: 33.7}",,,
BTD_overall,0.500±0.50 (0.00-1.00),,,,,,0.337±0.47 (0.00-1.00),,,
BTD_per_item,0.500±0.50 (0.00-1.00),,,,,,0.337±0.23 (0.04-0.61),,,
BTD_per_participant,0.500±0.00 (0.49-0.51),,,,,,0.337±0.25 (0.00-1.00),,,
CHOSEN_ANSWER_col,is_correct,,,,,,,,,
CHOSEN_ANSWER_distribution,"{1: 84.6, 0: 15.4}",,,,,,,,,
CHOSEN_ANSWER_overall,0.846±0.36 (0.00-1.00),,,,,,,,,
CHOSEN_ANSWER_per_item,0.846±0.09 (0.50-1.00),,,,,,,,,
CHOSEN_ANSWER_per_participant,0.846±0.09 (0.48-1.00),,,,,,,,,
CONDITION_col,question_preview,,,,,,,,,
CONDITION_distribution,"{True: 50.0, False: 50.0}",,,,,,,,,
CONDITION_overall,0.500±0.50 (0.00-1.00),,,,,,,,,
CONDITION_per_item,0.500±0.00 (0.50-0.51),,,,,,,,,
CONDITION_per_participant,0.500±0.50 (0.00-1.00),,,,,,,,,
CV_col,,,,,label,,,,,
CV_distribution,,,,,"{1: 79.1, 0: 20.9}",,,,,
CV_overall,,,,,0.791±0.41 (0.00-1.00),,,,,
CV_per_item,,,,,0.791±0.30 (0.00-1.00),,,,,
CV_per_participant,,,,,0.791±0.03 (0.76-0.82),,,,,
DE_col,,,,,,DE,,,,
DE_distribution,,,,,,"{0: 89.8, 1: 10.2}",,,,
DE_overall,,,,,,0.102±0.30 (0.00-1.00),,,,
DE_per_item,,,,,,0.102±0.10 (0.01-0.33),,,,
DE_per_participant,,,,,,0.103±0.09 (0.00-0.33),,,,
DIFFICULTY_LEVEL_col,difficulty_level,,,,,,,,,
DIFFICULTY_LEVEL_distribution,"{'Ele': 50.0, 'Adv': 50.0}",,,,,,,,,
GENERAL_READING_COMPREHENSION_col,,GRC_score,,,,,,,,
GENERAL_READING_COMPREHENSION_overall,,4.134±1.69 (0.70-7.10),,,,,,,,
GENERAL_READING_COMPREHENSION_per_item,,4.038±0.63 (2.00-4.90),,,,,,,,
GENERAL_READING_COMPREHENSION_per_participant,,3.858±1.61 (0.70-7.10),,,,,,,,
HD_col,,,,,label,,,,,
HD_distribution,,,,,"{1: 79.1, 0: 20.9}",,,,,
HD_overall,,,,,0.791±0.41 (0.00-1.00),,,,,
HD_per_item,,,,,0.791±0.30 (0.00-1.00),,,,,
HD_per_participant,,,,,0.791±0.03 (0.76-0.82),,,,,
LEX_col,,,lextale,lextale,,,,lextale,lextale,lextale
LEX_overall,,,76.781±12.02 (46.25-100.00),77.712±12.84 (41.25-100.00),,,,77.249±12.45 (41.25-100.00),73.551±12.20 (48.75-97.50),5.923±24.36 (-1.00-100.00)
LEX_per_item,,,76.785±0.18 (76.42-76.98),77.712±12.84 (41.25-100.00),,,,77.252±0.17 (76.97-77.47),73.235±2.41 (68.95-76.54),5.928±0.47 (5.21-6.60)
LEX_per_participant,,,76.292±12.06 (46.25-100.00),77.049±12.83 (41.25-100.00),,,,76.679±12.46 (41.25-100.00),73.551±12.24 (48.75-97.50),4.840±22.50 (-1.00-100.00)
LOG_MICH_GVR_col,,,,,,,,,log_MPT_grammar_vocab_read,
LOG_MICH_GVR_overall,,,,,,,,,4.125±0.76 (-1.00-4.38),
LOG_MICH_GVR_per_item,,,,,,,,,4.136±0.08 (4.04-4.24),
LOG_MICH_GVR_per_participant,,,,,,,,,4.125±0.76 (-1.00-4.38),
LOG_MICH_G_col,,,,,,,,,log_MPT_grammar_score,
LOG_MICH_G_overall,,,,,,,,,3.135±0.63 (-1.00-3.40),
LOG_MICH_G_per_item,,,,,,,,,3.144±0.07 (3.08-3.24),
LOG_MICH_G_per_participant,,,,,,,,,3.135±0.64 (-1.00-3.40),
LOG_MICH_LG_col,,,,,,,,,log_MPT_listen_grammar,
LOG_MICH_LG_overall,,,,,,,,,3.660±0.69 (-1.00-3.91),
LOG_MICH_LG_per_item,,,,,,,,,3.670±0.07 (3.59-3.76),
LOG_MICH_LG_per_participant,,,,,,,,,3.660±0.69 (-1.00-3.91),
LOG_MICH_L_col,,,,,,,,,log_MPT_listening_score,
