column,type,count,percent_null,min,quantile_10,mean,median,quantile_90,max,std,nunique,distribution
CURRENT_FIX_DURATION,numeric,1529100,0.0,0.0,114.0,226.93027597933425,208.0,356.0,8547.0,114.5170073734762,1620,
CURRENT_FIX_INDEX,numeric,1529100,0.0,1.0,20.0,120.15038519390491,98.0,248.0,889.0,98.37399703163364,889,
CURRENT_FIX_INTEREST_AREA_INDEX,numeric,1529100,0.0,-1.0,6.0,52.62510038584789,48.0,106.0,164.0,36.87723890202787,166,
CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,categorical,1529100,0.0,,,,,,,,1257,
CURRENT_FIX_PUPIL,numeric,1529100,0.0,31.0,495.0,785.1069034072331,750.0,1119.0,2887.0,256.5264165388637,2181,
CURRENT_FIX_X,numeric,1529100,0.0,-2146.0,502.0,1193.8807134915965,1172.0,1925.0,3270.0,516.9903908298255,2207,
CURRENT_FIX_Y,numeric,1529100,0.0,-1386.0,206.0,538.6455830226931,515.0,911.0,2869.0,268.6210889652244,1980,
IA_DWELL_TIME,numeric,1501734,1.8,1.0,207.0,830.2571141094228,596.0,1692.0,23374.0,826.9343947706537,4449,
IA_DWELL_TIME_%,numeric,1501734,1.8,0.0,0.0048,0.01629545498736794,0.0127,0.0318,0.2866,0.013444933750633433,1148,
IA_FIRST_FIXATION_DURATION,numeric,1501734,1.8,1.0,120.0,234.7652420468605,216.0,367.0,8479.0,117.33749189046026,1360,
IA_FIRST_FIXATION_VISITED_IA_COUNT,numeric,1501734,1.8,0.0,7.0,43.729217691015855,40.0,87.0,153.0,30.13838260490832,154,
IA_FIRST_FIX_PROGRESSIVE,numeric,1501734,1.8,0.0,0.0,0.7484388047417185,1.0,1.0,1.0,0.4339104581275164,2,"{1.0: 74.8, 0.0: 25.2}"
IA_FIRST_RUN_DWELL_TIME,numeric,1501734,1.8,1.0,135.0,352.5619690304674,270.0,626.0,17026.0,310.55712731978167,2592,
IA_FIRST_RUN_FIXATION_COUNT,numeric,1501734,1.8,1.0,1.0,1.513031602134599,1.0,2.0,26.0,1.0471892711573723,22,
IA_FIXATION_%,numeric,1501734,1.8,0.0011,0.0054,0.01624068004053981,0.0131,0.0307,0.2941,0.011962174164827121,936,
IA_FIXATION_COUNT,numeric,1501734,1.8,1.0,1.0,3.6104489876369583,3.0,7.0,69.0,3.11480339800174,43,
IA_LAST_FIXATION_DURATION,numeric,1501734,1.8,1.0,109.0,218.66992490014877,202.0,342.0,8547.0,109.30410382615067,1298,
IA_LAST_RUN_DWELL_TIME,numeric,1501734,1.8,1.0,130.0,318.5527776556967,248.0,552.0,17026.0,289.19554225194474,2442,
IA_LAST_RUN_FIXATION_COUNT,numeric,1501734,1.8,1.0,1.0,1.4218163802644144,1.0,2.0,41.0,0.9805025250583743,22,
IA_LEFT,numeric,1501734,1.8,358.0,434.0,1133.5690135536654,1118.0,1859.0,2144.0,515.373311557764,96,
IA_REGRESSION_IN_COUNT,numeric,1501734,1.8,0.0,0.0,0.6953828041450749,0.0,2.0,17.0,1.0289926142189678,17,
IA_REGRESSION_IN_COUNT_sum,numeric,1529100,0.0,1.0,38.0,192.57991302073114,125.0,425.0,1810.0,203.41826755430696,648,
